file,fix
uxm\tests\02_latest_unique_by_relative_path\uxm\tests\stage15_16\test_s15_ml_argmax.uxm,memory data=512 -> data=128
uxm\tests\02_latest_unique_by_relative_path\uxm\tests\stage15_16\test_s15_ml_clamp.uxm,memory data=512 -> data=128
uxm\tests\02_latest_unique_by_relative_path\uxm\tests\stage15_16\test_s15_ml_dot_bias.uxm,memory data=512 -> data=128
uxm\tests\02_latest_unique_by_relative_path\uxm\tests\stage15_16\test_s15_ml_info.uxm,memory data=512 -> data=128
uxm\tests\02_latest_unique_by_relative_path\uxm\tests\stage15_16\test_s15_ml_linear_grad_step.uxm,memory data=512 -> data=128
uxm\tests\02_latest_unique_by_relative_path\uxm\tests\stage15_16\test_s15_ml_mae.uxm,memory data=512 -> data=128
uxm\tests\02_latest_unique_by_relative_path\uxm\tests\stage15_16\test_s15_ml_mse.uxm,memory data=512 -> data=128
uxm\tests\02_latest_unique_by_relative_path\uxm\tests\stage15_16\test_s15_ml_perceptron_predict.uxm,memory data=512 -> data=128
uxm\tests\02_latest_unique_by_relative_path\uxm\tests\stage15_16\test_s15_ml_perceptron_update.uxm,memory data=512 -> data=128
uxm\tests\02_latest_unique_by_relative_path\uxm\tests\stage15_16\test_s15_ml_relu.uxm,memory data=512 -> data=128
uxm\tests\02_latest_unique_by_relative_path\uxm\tests\stage15_16\test_s15_ml_sigmoid_fast1000.uxm,memory data=512 -> data=128
uxm\tests\02_latest_unique_by_relative_path\uxm\tests\stage15_16\test_s15_ml_step.uxm,memory data=512 -> data=128
uxm\tests\02_latest_unique_by_relative_path\uxm\tests\stage15_16\test_s16_dataset_col_sum.uxm,memory data=512 -> data=128
uxm\tests\02_latest_unique_by_relative_path\uxm\tests\stage15_16\test_s16_dataset_get_x.uxm,memory data=512 -> data=128
uxm\tests\02_latest_unique_by_relative_path\uxm\tests\stage15_16\test_s16_dataset_get_y.uxm,memory data=512 -> data=128
uxm\tests\02_latest_unique_by_relative_path\uxm\tests\stage15_16\test_s16_dataset_info.uxm,memory data=512 -> data=128
uxm\tests\02_latest_unique_by_relative_path\uxm\tests\stage15_16\test_s16_dataset_init.uxm,memory data=512 -> data=128
uxm\tests\02_latest_unique_by_relative_path\uxm\tests\stage15_16\test_s16_dataset_row_dot_vec.uxm,memory data=512 -> data=128
uxm\tests\02_latest_unique_by_relative_path\uxm\tests\stage15_16\test_s16_dataset_row_to_vec.uxm,memory data=512 -> data=128
uxm\tests\02_latest_unique_by_relative_path\uxm\tests\stage15_16\test_s16_dataset_set_x.uxm,memory data=512 -> data=128
uxm\tests\02_latest_unique_by_relative_path\uxm\tests\stage15_16\test_s16_dataset_set_y.uxm,memory data=512 -> data=128
uxm\tests\02_latest_unique_by_relative_path\uxm\tests\stage15_16\test_s16_dataset_y_sum.uxm,memory data=512 -> data=128
uxm\tests\02_latest_unique_by_relative_path\uxm\tests\stage15_16\test_s16_pipe_batch_row_to_vec.uxm,memory data=512 -> data=128
uxm\tests\02_latest_unique_by_relative_path\uxm\tests\stage15_16\test_s16_pipe_batch_y_sum.uxm,memory data=512 -> data=128
uxm\tests\02_latest_unique_by_relative_path\uxm\tests\stage15_16\test_s16_pipe_data_to_vec.uxm,memory data=512 -> data=128
uxm\tests\02_latest_unique_by_relative_path\uxm\tests\stage15_16\test_s16_pipe_dataset_to_dense.uxm,memory data=512 -> data=128
uxm\tests\02_latest_unique_by_relative_path\uxm\tests\stage15_16\test_s16_pipe_eval_mse_dataset.uxm,memory data=512 -> data=128
uxm\tests\02_latest_unique_by_relative_path\uxm\tests\stage15_16\test_s16_pipe_feature_scale_const.uxm,memory data=512 -> data=128
uxm\tests\02_latest_unique_by_relative_path\uxm\tests\stage15_16\test_s16_pipe_info.uxm,memory data=512 -> data=128
uxm\tests\02_latest_unique_by_relative_path\uxm\tests\stage15_16\test_s16_pipe_linear_predict_data.uxm,memory data=512 -> data=128
uxm\tests\02_latest_unique_by_relative_path\uxm\tests\stage15_16\test_s16_pipe_status.uxm,memory data=512 -> data=128
uxm\tests\02_latest_unique_by_relative_path\uxm\tests\stage15_16\test_s16_pipe_vec_to_data.uxm,memory data=512 -> data=128
uxm\tests\03_curated_stage_added_tests\stage15_16\uxm\tests\stage15_16\test_s15_16_integration_data_vec_train.uxm,memory data=512 -> data=128
uxm\tests\03_curated_stage_added_tests\stage15_16\uxm\tests\stage15_16\test_s15_16_integration_dataset_ml_predict.uxm,memory data=512 -> data=128
uxm\tests\03_curated_stage_added_tests\stage15_16\uxm\tests\stage15_16\test_s15_ml_argmax.uxm,memory data=512 -> data=128
uxm\tests\03_curated_stage_added_tests\stage15_16\uxm\tests\stage15_16\test_s15_ml_clamp.uxm,memory data=512 -> data=128
uxm\tests\03_curated_stage_added_tests\stage15_16\uxm\tests\stage15_16\test_s15_ml_dot_bias.uxm,memory data=512 -> data=128
uxm\tests\03_curated_stage_added_tests\stage15_16\uxm\tests\stage15_16\test_s15_ml_info.uxm,memory data=512 -> data=128
uxm\tests\03_curated_stage_added_tests\stage15_16\uxm\tests\stage15_16\test_s15_ml_linear_grad_step.uxm,memory data=512 -> data=128
uxm\tests\03_curated_stage_added_tests\stage15_16\uxm\tests\stage15_16\test_s15_ml_mae.uxm,memory data=512 -> data=128
uxm\tests\03_curated_stage_added_tests\stage15_16\uxm\tests\stage15_16\test_s15_ml_mse.uxm,memory data=512 -> data=128
uxm\tests\03_curated_stage_added_tests\stage15_16\uxm\tests\stage15_16\test_s15_ml_perceptron_predict.uxm,memory data=512 -> data=128
uxm\tests\03_curated_stage_added_tests\stage15_16\uxm\tests\stage15_16\test_s15_ml_perceptron_update.uxm,memory data=512 -> data=128
uxm\tests\03_curated_stage_added_tests\stage15_16\uxm\tests\stage15_16\test_s15_ml_relu.uxm,memory data=512 -> data=128
uxm\tests\03_curated_stage_added_tests\stage15_16\uxm\tests\stage15_16\test_s15_ml_sigmoid_fast1000.uxm,memory data=512 -> data=128
uxm\tests\03_curated_stage_added_tests\stage15_16\uxm\tests\stage15_16\test_s15_ml_step.uxm,memory data=512 -> data=128
uxm\tests\03_curated_stage_added_tests\stage15_16\uxm\tests\stage15_16\test_s16_dataset_col_sum.uxm,memory data=512 -> data=128
uxm\tests\03_curated_stage_added_tests\stage15_16\uxm\tests\stage15_16\test_s16_dataset_get_x.uxm,memory data=512 -> data=128
uxm\tests\03_curated_stage_added_tests\stage15_16\uxm\tests\stage15_16\test_s16_dataset_get_y.uxm,memory data=512 -> data=128
uxm\tests\03_curated_stage_added_tests\stage15_16\uxm\tests\stage15_16\test_s16_dataset_info.uxm,memory data=512 -> data=128
